exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,49.44,0.24,1.23,1.14,1.32,49.44,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,49.45,0.25,1.28,1.18,1.41,49.45,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,49.82,0.26,1.31,1.2,1.45,49.82,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,62.54,0.35,1.79,1.53,2.12,62.54,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,62.85,0.58,2.93,2.6,3.4,62.85,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,66.01,2.21,11.12,8.03,16.83,66.01,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,78.32,1.23,6.22,5.41,7.29,78.32,100.0,0.0,0.0,0.0,0.0,3.7,0.037,0.001
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,82.9,2.46,12.39,10.78,14.71,82.9,100.0,0.0,0.0,0.0,0.0,3.7,0.04,0.001
8,0.15,0.5,99.0,-2.0,94.55,99.82,-10.5,5.32,91.43,7.26,36.41,28.95,50.6,92.36,99.0,1.0,0.0,0.0,0.18,5.45,0.094,0.012
9,0.1,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,105.73,3.74,18.85,14.84,25.71,105.73,100.0,0.0,0.0,0.0,0.0,3.7,0.056,0.003
10,0.1,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,109.54,7.82,39.39,31.0,52.3,109.54,100.0,0.0,0.0,0.0,0.0,3.7,0.089,0.009
11,0.1,0.5,98.0,0.0,93.0,99.45,-8.65,8.65,119.82,12.73,63.5,51.21,92.26,122.26,98.0,2.0,0.0,0.0,0.55,7.0,0.214,0.019
12,0.08,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,125.67,6.6,33.28,27.0,43.36,125.67,100.0,0.0,0.0,0.0,0.0,3.7,0.075,0.005
13,0.08,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,141.56,13.3,67.01,54.2,86.14,141.56,100.0,0.0,0.0,0.0,0.0,3.7,0.13,0.011
14,0.08,0.5,98.0,-4.0,93.0,99.45,-13.46,3.7,145.92,15.44,77.01,64.71,99.72,148.9,98.0,2.0,0.0,0.0,0.55,7.0,0.263,0.02
15,0.05,0.125,99.0,-2.0,94.55,99.82,-10.5,5.32,285.28,24.35,122.09,107.05,140.86,288.16,99.0,0.0,1.0,0.0,0.0,3.7,0.136,0.01
16,0.05,0.25,98.0,0.0,93.0,99.45,-8.65,8.65,247.23,29.36,146.46,126.33,170.12,252.28,98.0,0.0,2.0,0.0,0.0,3.7,0.24,0.014
17,0.05,0.5,88.0,-8.0,80.19,93.0,-21.42,5.27,170.45,22.43,105.87,85.02,138.71,193.7,88.0,12.0,0.0,0.0,7.0,19.81,0.326,0.014
18,0.03,0.125,44.0,-60.0,34.67,53.77,-72.34,-41.77,418.27,60.02,197.42,174.61,225.12,950.62,44.0,0.0,56.0,0.0,0.0,3.7,0.214,0.012
19,0.03,0.25,87.0,-22.0,79.02,92.24,-35.51,-9.1,348.62,41.51,194.74,171.89,221.72,400.71,87.0,0.0,13.0,0.0,0.0,3.7,0.291,0.009
20,0.03,0.5,81.0,2.0,72.22,87.49,-13.51,17.42,208.73,32.91,148.83,121.66,189.27,257.69,81.0,18.0,1.0,0.0,11.7,26.67,0.324,0.013
21,0.01,0.125,6.0,-12.0,2.78,12.48,-23.8,-2.43,481.5,,237.7,,,8025.0,6.0,0.0,94.0,0.0,0.0,3.7,0.209,
22,0.01,0.25,54.0,-32.0,44.26,63.44,-48.31,-12.48,441.67,60.68,222.32,195.52,252.75,817.9,54.0,10.0,36.0,0.0,5.52,17.44,0.252,0.013
23,0.01,0.5,57.0,-2.0,47.22,66.27,-20.63,16.82,222.04,41.26,155.52,118.68,201.43,389.54,57.0,43.0,0.0,0.0,33.73,52.78,0.312,0.015
